hhid,sexe_chef_bin,age_chef,educ_hi_chef,annees_scol_chef,niveau_instruction_chef,diplome_chef,activite_chef,branch_chef,csp_chef,departement,departement_nom,milieu,milieu_urbain,hhweight,dep_totale_annuelle,dep_educ,educ_hi_mere,niveau_instruction_mere,taille_menage,choc_economique,choc_naturel,choc_quelconque,tv,frigo,cuisin,ordin,decod,car,score_actifs,acces_electricite,logem,toilet,eauboi_ss,dep_percapita,log_dep_totale,log_dep_percapita,chef_instruit,chef_superieur,ethnie_chef_code,religion_chef_code,mstat_chef_code,agemar_chef,nation_chef_code,internet_chef,telpor_chef,bank_chef,handit_chef,handig_chef,moustiq_chef,couvmal_chef,alfa_chef,annee_naissance_chef,religion_chef_lbl,mstat_chef_lbl,mur_ameliore,toit_ameliore,sol_ameliore,eauboi_sp_ameliore,elec_urbain,elec_autre,ordure_amelioree,eval_toilettes,eval_eau,actif_fer,superficie_terre_ha,nb_gros_ruminants,nb_petits_ruminants,nb_porcins,nb_lapins,nb_volailles,choc_idiosyncr_demo,choc_collectif_naturel,choc_collectif_eco,choc_idiosyncr_eco,choc_collectif_violence,choc_collectif_autre
2100,0,61,1,0,1_Aucun,0,Emploi,1.0,9.0,1,Alibori,1,1,471.467486318315,904100.730067662,0.0,1.0,1_Aucun,1,1,1,1,0,0,0,0,0,0,0,1,2,0,1,904100.730067662,13.7146960602328,13.7146960602328,0,0,18.0,2,5,25.0,1,0,0,0,1,0,1,0,0,22,2_Musulman,5_Veuf/Veuve,1,1,1,0,0,1,0,0,0,0,1.55046379566193,0,0,0,0,0,0,1,1,0,0,0
2110,1,62,1,0,1_Aucun,0,Emploi,1.0,9.0,1,Alibori,1,1,471.467486318315,3194356.26372419,0.0,1.0,1_Aucun,3,1,0,1,1,0,0,0,0,0,1,1,2,0,0,1064785.4212414,14.976896143091,13.8782838544229,0,0,18.0,2,2,25.0,1,0,1,0,0,0,1,0,1,22,2_Musulman,2_Marie monogame,1,1,1,0,0,1,0,1,0,0,6.85243320465088,4,10,0,0,20,0,0,1,0,0,0
2120,1,33,1,0,1_Aucun,0,Emploi,1.0,9.0,1,Alibori,1,1,471.467486318315,2656090.64322336,42000.0,1.0,1_Aucun,5,1,1,1,0,0,0,0,0,0,0,1,2,0,0,531218.128644671,14.7923659167158,13.1829280042817,0,0,18.0,2,2,21.0,1,0,1,0,0,0,1,0,0,23,2_Musulman,2_Marie monogame,1,1,1,0,0,1,0,0,1,0,4.58717679977417,0,0,0,0,0,0,1,1,0,0,0
3010,1,56,1,0,1_Aucun,0,Emploi,1.0,9.0,1,Alibori,2,0,314.6656252573,1130777.51686314,0.0,1.0,1_Aucun,7,0,0,1,0,0,0,0,0,0,0,1,2,0,0,161539.645266163,13.9384160220987,11.9925058730434,0,0,18.0,1,2,17.0,1,0,0,0,1,1,0,0,0,13,1_Catholique,2_Marie monogame,1,1,0,0,0,1,1,0,0,0,3.22000002861023,7,8,0,0,5,0,0,0,0,1,0
3020,1,48,1,0,1_Aucun,0,Emploi,1.0,9.0,1,Alibori,2,0,314.6656252573,121484.624450684,0.0,,,1,0,1,1,0,0,0,0,0,0,0,0,4,0,0,121484.624450684,11.7075429860239,11.7075429860239,0,0,,5,1,,2,0,0,0,1,0,0,0,0,12,5_Sans religion,1_Celibataire,1,1,0,0,0,0,1,0,0,0,0.119999997317791,0,0,1,0,0,0,1,0,0,0,0
3031,1,24,1,0,1_Aucun,0,Emploi,1.0,9.0,1,Alibori,2,0,314.6656252573,905549.505950928,0.0,1.0,1_Aucun,7,0,0,0,0,0,0,0,0,0,0,1,2,0,1,129364.215135847,13.7162972273135,11.7703870782582,0,0,18.0,1,3,16.0,1,0,1,1,0,0,1,0,0,12,1_Catholique,3_Marie polygame,1,1,1,1,0,1,1,0,0,0,4.0,50,0,0,0,10,0,0,0,0,0,0
3041,1,30,3,6,2_Primaire,0,Emploi,1.0,9.0,1,Alibori,2,0,314.6656252573,708958.329376221,0.0,1.0,1_Aucun,5,1,0,1,0,0,0,0,0,0,0,1,2,0,0,141791.665875244,13.4715520299876,11.8621141175535,1,0,18.0,1,2,17.0,1,0,1,1,0,0,1,0,0,12,1_Catholique,2_Marie monogame,1,1,1,0,0,1,1,0,0,0,8.07000017166138,50,15,0,0,10,0,0,1,0,0,0
3051,1,33,1,0,1_Aucun,0,Emploi,1.0,9.0,1,Alibori,2,0,314.6656252573,1903461.97095599,17300.0,1.0,1_Aucun,7,0,1,1,1,0,0,0,0,0,1,1,2,0,0,271923.138707998,14.4591848761213,12.513274727066,0,0,18.0,1,3,26.0,1,0,1,1,1,1,1,0,0,12,1_Catholique,3_Marie polygame,1,1,1,0,0,1,1,0,0,0,2.77000007033348,0,3,0,0,10,1,1,0,1,0,0
3061,1,33,1,0,1_Aucun,0,Emploi,1.0,9.0,1,Alibori,2,0,314.6656252573,2875184.90316337,23000.0,1.0,1_Aucun,11,0,1,1,0,0,0,0,0,0,0,1,2,0,0,261380.445742124,14.8716275442893,12.4737322714909,0,0,18.0,1,3,17.0,1,0,1,1,0,0,1,0,1,12,1_Catholique,3_Marie polygame,1,1,1,0,0,1,0,0,0,0,9.69969296455383,6,25,0,0,0,1,1,0,0,0,0
3072,1,29,4,9,3_Secondaire1,2,Emploi,9.0,2.0,1,Alibori,2,0,314.6656252573,2098695.15215516,8500.0,1.0,1_Aucun,6,0,1,1,0,0,0,0,0,0,0,1,2,0,0,349782.525359193,14.5568263534554,12.7650668842273,1,0,18.0,5,2,18.0,1,0,0,1,0,0,1,0,1,13,5_Sans religion,2_Marie monogame,0,1,1,0,0,1,0,0,0,0,3.4246301651001,0,7,0,0,15,0,1,0,0,0,0
